id,text,label
64,George Killians Irish Ale on draft is like heaven in my mouth,1
65,Spent 16$ on a African banana THAT I DIDNT WIN I got this bullshit instead #h8carniez http://t.co/eME6jb5ZeU,1
66,"I'm at McDonalds (Rochester, MI) http://t.co/6VGieRpUEg",1
67,Try http://t.co/XU89uydloM Two eggs any style with refried beans and cheese stacked on two fried #beans #menu,1
68,A 2007 Honda Accord was just scanned http://t.co/ACZACnVx3d #autocheck #follow #apple,0
69,More chili and peanut butter. @mcmatherr 's  favorite.,1
70,Pizza and beer #perfectcombo #ofy,1
71,GCPC EPISODE 402 - May Cacher Coffee https://t.co/pHIlPY5nfb #geocaching #geosnippits,1
72,"I can't wait for all the corn maizes, bonfires, and apple cider",1
73,Drinking an IPA #11 by Cheboygan Brewing Company @ Cherry Street Mansion Ã¢Â€Â” http://t.co/yqt0YMxdrY,1
74,@MelissaBasolo That's what I thought. I was soy distressed!,0
75,So im like yeah but idk but I do...man I want some jimmy johns -_-,1
76,If I get caught trapping i only moth closed like a mussel_Ÿ’¯_Ÿ’¯_Ÿ’¯,0
77,These off brand pizza rolls rn tho .,1
78,"Because, dinner! (at @Schlotzskys) http://t.co/BcNxAmccYJ http://t.co/Ol4Dks2y5w",1
79,I are an egg sandwich for breakfast and had almost all my carbs for the day in 2 slices of bread. Definitely not worth it.,1
80,"""every night after work I get a coffee, cigarettes and a blunt wrap"" -the cokehead I work with_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚",1
81,@cafeheavenlysan http://t.co/XQw9QDXmxk COFFEE BEAN and CHAI and POWER SMOOTHIES #COFFEE #menu,1
82,You can't have no almonds bc almonds have nuts. BAM @WWE @therock,0
83,We go out to eat; i eat chicken. Go to McDonald's; i get a mcchicken. Taco bell; chicken quesadilla. Smh its terrible.,1
84,"Dinna! Garlic roasted &amp; herb chicken, strawberries, &amp; Gorgonzola cheese w/ raspberry hazelnutÃ¢Â€Â_ http://t.co/7qdOtd05hY",1
85,â€œ@OooohGourl: @lizzypiss I'm making spaghetti out of macaroni noodles right now....sorry I'm a got damn broke assâ€ù #whenisaybrokeass ..,1
86,why does truther autocorrect to Reuther hasn't anyone from apple seen drake &amp; josh???,0
87,Someone bring me subway to work â™¡â™¡,1
88,"Halfway through my crunch wrap I found cheese on it, fuck you Taco Bell _Ÿ˜ ",1
89,Drinking a Hava Nother Pale Ale by @Dragonmead @ Dragonmead Brewery Ã¢Â€Â” http://t.co/PP58XXBSrJ #photo,1
90,"@FracturedPruneC peanut butter and chocolate, you guys make cupcakes?",1
91,Mommy Buying Me Ice-Cream _Ÿ˜ç_Ÿ˜ç_Ÿ™Œ,1
92,This peanut head boy @sleazgocrazy legit called my phone at 4 in the morning. _Ÿ˜‚ I was sleep. _Ÿ‘¸_Ÿ’_,0
93,"Try http://t.co/ZujUOOyOT6 Curry Casserole Shrimp, beef, chickenÃƒÂ‚Ã‚Â and pork with onions, green peppers, carrots and #beef #menu",1
94,"I'm In Love by Evelyn ""Champagne"" King, from #SoundHound with LiveLyricsÃ‚Â® http://t.co/yXwEyVSslf",0
95,"Tortellini and diced ham, sautÃƒÂ©ed in olive oil. @ Chapel of Smoke http://t.co/EovkPItXIA",1
96,Medium Frap! (@ Starbucks In Target) http://t.co/6tdejASnve,1
97,is makin crabby and bahama lobster tails fer dinny....,1
98,"Try http://t.co/Aky42Ism2b Shiitake bacon, lettuce, avocado, tomato, Rhizocali tempeh, and ÃƒÂ¢Ã‚Â€Ã‚Âœmayo,ÃƒÂ¢Ã‚Â€Ã‚Âù on a #tomato #menu",1
99,This little muffin loves to play outside. Ã¢Â˜ÂºÃ¯Â¸Âè http://t.co/cwbZXsVOh2,0
100,@SofaNice97 or a taco,1
